scrambleId,competitionId,eventId,roundTypeId,groupId,isExtra,scrambleNum,scramble
22,GaleriesDorianOpen2014,333bf,c,A,0,1,B2 U' L2 U F2 L2 D2 L2 U F2 L F2 L D U L' D2 F' U2 Fw
23,GaleriesDorianOpen2014,333bf,c,A,0,2,D2 U L2 B2 R2 F2 R2 U2 R2 D' R' D B2 U B' R B' D Fw' Uw'
24,GaleriesDorianOpen2014,333bf,c,A,0,3,L2 D F2 D' B2 L2 R2 U2 F2 D L' U2 R2 B' R F R2 D' U F Rw' Uw'
25,GaleriesDorianOpen2014,333bf,c,A,1,1,U' B2 U2 F2 L2 D' F2 L2 B' D2 B' L' F R D L' B2 L2 B2 D' Rw2 Uw
26,GaleriesDorianOpen2014,333bf,c,A,1,2,U2 R2 U' F2 D' L2 F2 D L B2 F2 D' L' U2 L R F U2 B' D2 Fw Uw2
27,GaleriesDorianOpen2014,333bf,c,B,0,1,U2 L2 U' L2 U2 B2 D L R' B D' F L2 D2 F' L D F' U' Rw Uw2
28,GaleriesDorianOpen2014,333bf,c,B,0,2,D U B2 L2 D R2 U' L2 F L R D2 B' D B2 R D2 F L' Fw' Uw'
29,GaleriesDorianOpen2014,333bf,c,B,0,3,R2 F R2 F2 D2 U2 F' U2 F' L2 D' L B2 F2 D F L F L2 R' F2 Rw'
30,GaleriesDorianOpen2014,333bf,c,B,1,1,L F2 U2 L D2 R2 B2 D2 B2 R' B F' R' U' F' R F' L' F' U Rw2 Uw'
31,GaleriesDorianOpen2014,333bf,c,B,1,2,U2 B2 R2 F2 U' L2 B2 U R2 U' L D' L2 F R B2 F' R Fw Uw'
588,HessenOpen2014,333bf,d,A,0,1,D B2 U2 L2 F2 U L2 U B R U2 L D' B' D2 F' D L2 B Rw
589,HessenOpen2014,333bf,d,A,0,2,R2 B2 L D2 F2 U2 F2 L' B2 F L' R B2 U B D' L' U L' F2 Uw
590,HessenOpen2014,333bf,d,A,0,3,D B2 R2 F2 D L2 D' L2 D B' F U' R' B2 R2 B2 D' L' F U' Rw2
591,HessenOpen2014,333bf,d,A,1,1,F2 D' L2 R2 F2 D' R2 F2 U2 B2 D2 R D' R2 F L B D2 R' D' L2
592,HessenOpen2014,333bf,d,A,1,2,R2 D2 B2 D2 R2 D2 F' D2 F R' U' R2 U' R F L' B' F D' F2 Rw Uw2
593,HessenOpen2014,333bf,d,B,0,1,U2 R2 B' U2 F U2 B2 D2 B2 D R D R U R2 B2 R' D2 U' B' Rw Uw
594,HessenOpen2014,333bf,d,B,0,2,R2 D2 B2 R2 U L2 U' R2 D R' F2 R2 D2 L2 F' D' B2 D L' U2 Fw Uw
